age,education-num,hours-per-week,income
30,13,50, >50K
37,9,40, <=50K
31,9,55, >50K
40,10,49, <=50K
46,10,45, <=50K
36,9,40, <=50K
63,9,25, <=50K
48,9,40, <=50K
41,9,40, <=50K
41,12,50, <=50K
25,14,43, <=50K
61,9,40, <=50K
27,9,8, <=50K
35,9,42, >50K
45,13,60, <=50K
36,9,40, <=50K
18,7,7, <=50K
37,4,50, <=50K
31,9,40, <=50K
44,15,45, >50K
34,10,40, >50K
21,10,50, <=50K
50,14,40, >50K
29,10,40, <=50K
42,9,45, <=50K
67,16,50, >50K
35,9,40, <=50K
63,5,40, <=50K
32,11,40, <=50K
78,14,15, <=50K
20,8,40, <=50K
27,10,40, <=50K
22,10,40, <=50K
62,14,35, <=50K
24,13,35, <=50K
53,7,48, >50K
25,10,40, <=50K
58,13,70, >50K
41,10,65, >50K
23,9,40, <=50K
27,7,35, <=50K
61,5,25, <=50K
37,9,55, <=50K
71,13,45, >50K
29,10,40, <=50K
66,9,18, <=50K
50,9,40, <=50K
47,10,35, <=50K
35,13,50, >50K
43,13,35, <=50K
53,9,48, <=50K
44,12,60, >50K
38,9,60, <=50K
57,10,75, <=50K
40,9,45, >50K
19,9,40, <=50K
43,11,40, <=50K
40,13,40, >50K
52,9,8, <=50K
32,6,40, <=50K
27,9,45, <=50K
31,10,40, <=50K
30,9,40, <=50K
43,15,50, <=50K
46,13,48, >50K
39,9,40, >50K
41,10,48, >50K
48,13,40, >50K
17,7,40, <=50K
55,9,50, >50K
35,13,35, >50K
52,4,40, <=50K
46,13,25, >50K
40,10,40, >50K
37,13,50, >50K
21,10,40, <=50K
40,9,46, >50K
21,10,9, <=50K
55,10,20, <=50K
67,10,40, <=50K
62,9,48, <=50K
25,9,40, <=50K
36,5,40, <=50K
64,5,40, <=50K
25,10,40, <=50K
63,12,35, <=50K
30,9,40, <=50K
38,13,55, >50K
44,9,60, >50K
35,9,40, <=50K
25,10,60, <=50K
22,13,40, <=50K
48,13,40, <=50K
17,7,15, <=50K
22,10,10, <=50K
32,14,20, <=50K
40,13,40, >50K
23,9,40, <=50K
29,9,40, <=50K
17,6,30, <=50K
74,6,30, <=50K
23,9,40, >50K
56,13,40, >50K
27,10,45, >50K
42,10,72, >50K
42,9,35, <=50K
35,14,60, <=50K
51,14,55, >50K
62,11,50, >50K
50,10,40, <=50K
64,9,40, >50K
18,10,15, <=50K
47,9,40, <=50K
78,13,40, >50K
18,10,30, <=50K
82,6,20, <=50K
18,10,25, <=50K
44,6,35, <=50K
42,9,40, >50K
21,10,20, <=50K
33,10,40, >50K
35,10,50, >50K
20,10,25, <=50K
28,9,30, <=50K
60,4,40, >50K
51,10,40, >50K
30,9,65, >50K
20,9,40, <=50K
68,11,40, <=50K
24,13,40, <=50K
77,9,15, <=50K
31,9,40, <=50K
40,10,40, <=50K
29,9,50, <=50K
64,9,24, <=50K
29,10,40, <=50K
49,14,40, >50K
52,11,60, <=50K
28,9,40, <=50K
53,13,40, >50K
46,13,40, <=50K
37,10,47, <=50K
42,14,60, >50K
25,10,50, <=50K
34,10,60, <=50K
32,10,54, <=50K
22,10,40, <=50K
46,10,48, >50K
22,9,20, <=50K
44,9,55, <=50K
47,14,50, >50K
45,13,55, >50K
56,9,40, <=50K
35,13,40, <=50K
60,9,40, >50K
25,9,40, <=50K
49,11,60, >50K
34,14,40, <=50K
38,6,45, <=50K
30,10,10, <=50K
20,9,70, <=50K
58,13,45, >50K
18,7,20, <=50K
45,9,60, >50K
23,9,40, <=50K
20,10,25, <=50K
52,12,40, >50K
70,11,35, <=50K
36,9,40, <=50K
27,10,50, <=50K
47,15,55, >50K
30,9,30, <=50K
48,10,30, <=50K
76,9,13, <=50K
37,9,50, <=50K
35,12,40, <=50K
52,9,50, >50K
46,11,40, <=50K
49,14,43, >50K
57,13,40, <=50K
41,11,70, >50K
63,6,40, <=50K
67,10,70, <=50K
26,13,50, <=50K
28,9,60, <=50K
20,12,40, <=50K
52,13,40, >50K
48,9,60, >50K
58,14,40, >50K
52,9,43, <=50K
34,14,50, <=50K
33,9,40, <=50K
25,10,50, <=50K
18,6,20, <=50K
44,9,96, <=50K
67,9,20, <=50K
44,10,38, <=50K
20,10,30, <=50K
26,9,50, <=50K
63,9,24, <=50K
61,4,40, >50K
41,10,32, <=50K
47,13,45, <=50K
59,4,40, <=50K
34,9,40, <=50K
39,9,40, <=50K
47,9,40, >50K
23,10,40, <=50K
29,9,40, >50K
26,10,40, <=50K
39,10,40, <=50K
18,10,20, <=50K
26,9,45, <=50K
49,15,37, >50K
29,13,48, <=50K
49,13,56, >50K
62,14,2, >50K
70,9,40, <=50K
25,9,40, <=50K
21,9,50, <=50K
24,9,48, <=50K
36,13,40, >50K
42,9,24, <=50K
29,12,60, <=50K
55,15,40, >50K
42,9,40, >50K
41,14,45, <=50K
27,9,60, >50K
19,10,40, <=50K
24,13,20, <=50K
27,13,24, >50K
46,10,55, <=50K
44,14,44, >50K
19,10,40, <=50K
31,15,50, >50K
27,13,40, <=50K
18,9,25, <=50K
25,9,48, <=50K
23,10,25, <=50K
44,8,40, <=50K
22,13,43, <=50K
63,13,36, >50K
35,8,30, <=50K
57,10,40, >50K
33,12,60, <=50K
21,10,15, <=50K
36,9,40, <=50K
44,9,40, <=50K
40,9,60, >50K
54,9,20, <=50K
53,9,40, <=50K
25,9,80, >50K
20,11,35, <=50K
27,10,40, >50K
38,13,40, <=50K
27,9,30, <=50K
69,9,10, <=50K
22,10,16, <=50K
29,12,50, <=50K
42,9,40, >50K
41,11,40, <=50K
56,10,20, >50K
45,9,40, <=50K
43,14,40, <=50K
25,13,40, <=50K
47,10,40, <=50K
45,9,38, >50K
35,12,60, <=50K
53,10,34, <=50K
33,13,45, <=50K
25,12,40, <=50K
31,12,40, <=50K
58,9,40, >50K
27,12,40, <=50K
29,6,40, <=50K
57,10,60, >50K
37,12,40, <=50K
39,9,40, >50K
37,3,40, <=50K
64,4,25, <=50K
34,14,40, <=50K
64,10,40, <=50K
32,9,40, <=50K
29,9,30, <=50K
54,9,20, <=50K
23,9,40, <=50K
42,9,40, <=50K
23,13,40, <=50K
19,10,30, <=50K
48,9,15, <=50K
33,13,40, >50K
46,10,42, <=50K
24,9,40, <=50K
35,10,40, <=50K
39,10,30, <=50K
41,13,40, >50K
60,9,40, >50K
42,10,38, <=50K
41,9,40, <=50K
32,13,50, <=50K
31,5,45, <=50K
45,13,40, >50K
27,9,40, <=50K
24,13,40, <=50K
47,14,55, >50K
64,7,40, <=50K
19,9,40, <=50K
43,13,40, >50K
19,10,24, <=50K
49,10,28, <=50K
45,9,40, <=50K
47,9,24, <=50K
50,10,40, >50K
21,10,40, <=50K
26,10,40, <=50K
19,8,40, <=50K
45,13,40, >50K
24,13,40, <=50K
50,10,40, <=50K
35,10,40, >50K
26,9,40, <=50K
31,13,50, <=50K
30,10,55, >50K
35,9,38, <=50K
41,9,40, >50K
57,9,35, <=50K
44,13,50, <=50K
57,9,40, <=50K
27,9,40, <=50K
32,9,40, <=50K
22,12,40, <=50K
54,9,45, <=50K
42,9,40, <=50K
28,9,55, <=50K
30,10,40, >50K
47,13,50, >50K
32,6,37, <=50K
37,12,25, <=50K
90,13,15, >50K
30,13,45, >50K
51,9,40, >50K
39,9,50, >50K
29,13,40, >50K
25,10,8, <=50K
50,9,50, >50K
26,10,40, <=50K
43,10,40, >50K
18,9,20, <=50K
80,4,30, <=50K
42,13,60, >50K
56,10,50, <=50K
26,9,48, <=50K
45,9,40, <=50K
17,7,16, <=50K
39,13,30, >50K
33,15,60, >50K
18,7,16, <=50K
39,9,40, >50K
27,9,45, <=50K
21,10,40, <=50K
53,14,50, <=50K
19,9,60, <=50K
38,10,40, <=50K
44,10,55, <=50K
40,9,25, <=50K
40,12,40, <=50K
18,6,40, <=50K
36,5,40, <=50K
25,9,40, <=50K
46,9,40, <=50K
39,9,40, <=50K
23,5,40, <=50K
55,13,40, <=50K
19,9,40, <=50K
42,9,40, <=50K
42,9,40, <=50K
59,4,99, <=50K
29,9,40, <=50K
47,13,50, <=50K
35,7,40, <=50K
20,10,30, <=50K
25,10,24, <=50K
36,13,55, <=50K
58,9,38, <=50K
63,9,40, <=50K
49,6,40, <=50K
21,9,22, <=50K
20,10,16, <=50K
74,9,17, <=50K
65,13,20, >50K
38,13,40, <=50K
20,9,30, <=50K
17,7,8, <=50K
23,5,35, <=50K
55,13,50, >50K
38,9,55, >50K
54,7,40, >50K
33,16,60, >50K
26,10,40, <=50K
25,9,40, <=50K
53,12,40, <=50K
53,9,60, >50K
19,9,20, <=50K
28,6,40, <=50K
32,12,36, <=50K
31,10,40, <=50K
35,6,50, <=50K
44,9,40, <=50K
73,9,36, <=50K
37,11,40, >50K
54,9,32, <=50K
40,12,40, >50K
34,10,40, >50K
32,11,50, <=50K
32,11,24, >50K
46,13,40, >50K
46,13,40, >50K
31,9,47, >50K
25,10,40, <=50K
45,10,42, <=50K
22,13,20, <=50K
41,10,55, <=50K
53,9,40, <=50K
41,13,45, >50K
28,12,40, >50K
22,10,40, <=50K
20,10,16, <=50K
38,6,40, >50K
57,10,40, <=50K
43,16,64, >50K
18,10,20, <=50K
65,4,25, <=50K
49,14,75, <=50K
60,6,40, <=50K
18,9,20, <=50K
19,10,16, <=50K
43,10,50, >50K
25,10,40, <=50K
46,13,40, <=50K
62,10,80, <=50K
40,10,40, >50K
54,10,40, <=50K
44,15,60, >50K
45,7,36, <=50K
28,10,60, <=50K
53,13,35, <=50K
27,12,35, <=50K
30,13,60, <=50K
28,9,17, <=50K
55,11,50, >50K
29,13,40, <=50K
27,9,40, <=50K
64,9,50, >50K
26,15,50, <=50K
49,5,40, <=50K
41,5,40, <=50K
48,16,40, >50K
44,4,40, <=50K
40,13,52, >50K
30,9,35, <=50K
23,3,40, <=50K
38,10,40, <=50K
21,3,40, <=50K
52,1,40, <=50K
32,10,40, <=50K
23,7,50, <=50K
33,13,80, <=50K
19,9,40, <=50K
32,7,40, <=50K
57,2,45, <=50K
46,6,25, <=50K
41,4,40, <=50K
43,6,40, <=50K
34,10,40, <=50K
40,9,48, <=50K
26,6,40, <=50K
51,9,32, <=50K
49,10,60, >50K
30,13,20, <=50K
41,11,40, <=50K
59,9,40, <=50K
35,5,40, <=50K
21,13,40, <=50K
25,1,35, <=50K
58,9,52, >50K
24,9,44, <=50K
29,6,40, <=50K
38,12,55, <=50K
22,10,22, <=50K
74,5,10, <=50K
46,12,25, <=50K
54,1,40, <=50K
45,14,40, <=50K
48,9,38, <=50K
49,16,60, >50K
57,16,40, >50K
20,9,24, <=50K
46,9,50, <=50K
31,13,36, <=50K
66,13,8, <=50K
35,13,40, <=50K
34,9,40, <=50K
40,15,40, >50K
33,2,35, <=50K
64,9,24, <=50K
33,10,40, >50K
25,9,60, <=50K
38,7,36, <=50K
28,12,40, <=50K
29,13,50, >50K
37,9,40, <=50K
47,7,40, <=50K
46,9,35, <=50K
51,9,45, <=50K
24,7,40, <=50K
30,9,40, <=50K
30,13,40, >50K
61,9,40, <=50K
51,14,50, >50K
50,6,47, <=50K
37,9,40, <=50K
50,9,12, <=50K
23,4,36, <=50K
41,2,40, >50K
36,14,40, >50K
39,13,40, >50K
45,13,40, <=50K
29,10,40, <=50K
73,6,40, <=50K
58,9,40, <=50K
49,11,40, >50K
41,2,40, <=50K
49,10,65, <=50K
56,14,40, >50K
29,10,40, <=50K
41,9,40, <=50K
36,9,40, <=50K
41,10,24, <=50K
33,10,38, <=50K
56,9,35, <=50K
43,3,40, <=50K
17,7,40, <=50K
46,14,50, <=50K
43,14,40, >50K
19,8,25, <=50K
32,10,40, >50K
36,6,35, <=50K
41,11,84, <=50K
24,14,20, <=50K
37,12,40, >50K
44,3,40, <=50K
53,9,40, <=50K
31,9,40, >50K
50,3,40, <=50K
20,10,15, <=50K
30,11,40, <=50K
21,5,50, <=50K
35,14,40, >50K
53,9,40, <=50K
35,16,40, >50K
35,13,40, >50K
53,5,36, <=50K
18,8,40, <=50K
24,10,24, <=50K
34,14,40, <=50K
60,3,45, <=50K
25,10,15, <=50K
34,10,40, >50K
35,9,40, <=50K
51,10,40, <=50K
63,13,40, <=50K
41,13,40, >50K
27,10,45, <=50K
29,9,40, >50K
43,3,40, <=50K
32,10,35, <=50K
56,14,35, >50K
35,5,40, <=50K
38,13,50, >50K
46,13,40, >50K
54,13,40, >50K
45,6,40, <=50K
31,4,30, <=50K
57,14,40, <=50K
31,13,60, <=50K
61,3,40, <=50K
30,9,38, <=50K
35,9,40, <=50K
38,5,40, <=50K
42,12,40, >50K
47,8,35, <=50K
22,12,40, >50K
28,2,35, <=50K
24,9,40, <=50K
20,5,40, <=50K
30,10,40, <=50K
48,5,45, <=50K
51,3,40, <=50K
24,6,30, <=50K
67,9,10, <=50K
21,9,40, <=50K
29,6,40, <=50K
45,13,45, >50K
46,10,40, <=50K
55,11,50, >50K
24,10,40, <=50K
44,14,16, <=50K
38,4,36, <=50K
59,14,40, >50K
26,9,60, <=50K
36,9,40, <=50K
25,9,30, <=50K
44,9,20, <=50K
48,14,50, <=50K
39,9,45, >50K
48,4,40, <=50K
39,2,45, <=50K
37,9,35, >50K
28,9,40, <=50K
28,7,40, <=50K
63,13,49, <=50K
38,12,40, <=50K
32,5,40, <=50K
34,15,50, <=50K
59,9,38, <=50K
60,12,20, <=50K
20,6,35, <=50K
50,9,40, <=50K
37,9,45, <=50K
40,13,40, >50K
47,9,40, <=50K
43,13,40, >50K
52,10,40, >50K
41,10,50, <=50K
28,14,40, <=50K
37,13,20, >50K
46,2,40, <=50K
41,3,40, <=50K
30,9,40, <=50K
41,3,40, <=50K
24,4,32, <=50K
39,12,40, >50K
69,15,25, <=50K
49,9,40, <=50K
35,9,38, <=50K
60,4,40, <=50K
45,10,40, <=50K
63,2,30, <=50K
41,11,5, <=50K
29,4,40, <=50K
53,16,60, >50K
21,10,40, <=50K
47,5,40, <=50K
31,8,40, <=50K
57,13,40, <=50K
37,15,6, <=50K
37,10,48, <=50K
30,13,40, <=50K
23,9,1, <=50K
47,9,40, >50K
41,13,40, >50K
32,9,40, <=50K
49,9,60, <=50K
49,13,50, <=50K
47,13,60, <=50K
51,13,50, >50K
57,2,35, <=50K
34,6,40, <=50K
46,8,40, >50K
38,11,36, >50K
60,9,35, <=50K
26,10,40, <=50K
39,13,45, >50K
28,7,40, <=50K
31,13,40, <=50K
40,10,50, <=50K
68,13,40, >50K
43,10,45, <=50K
27,3,40, <=50K
54,13,50, >50K
55,9,40, <=50K
24,9,40, <=50K
63,2,44, <=50K
55,3,48, <=50K
38,14,40, <=50K
55,10,40, >50K
37,9,40, >50K
38,9,40, <=50K
50,13,60, >50K
22,10,40, <=50K
46,13,40, >50K
19,2,55, <=50K
29,13,60, <=50K
51,9,45, <=50K
20,10,10, <=50K
62,9,24, <=50K
26,13,50, <=50K
23,5,20, <=50K
32,10,50, <=50K
62,16,40, <=50K
49,14,80, >50K
23,4,40, <=50K
19,9,40, <=50K
29,13,52, >50K
56,10,40, <=50K
38,13,40, <=50K
39,14,50, <=50K
32,12,40, >50K
43,16,40, <=50K
72,9,40, <=50K
26,8,40, <=50K
28,12,40, <=50K
66,13,40, <=50K
24,13,40, <=50K
19,7,19, <=50K
55,10,40, >50K
34,13,40, >50K
28,6,40, <=50K
36,9,35, <=50K
31,10,50, >50K
31,11,24, <=50K
31,9,40, <=50K
41,13,72, <=50K
26,9,80, >50K
33,4,35, <=50K
21,7,42, <=50K
51,2,54, <=50K
49,14,40, >50K
18,3,40, <=50K
28,13,45, <=50K
38,5,40, <=50K
42,9,40, <=50K
63,9,40, <=50K
49,2,40, <=50K
59,6,40, <=50K
29,9,50, <=50K
40,1,40, <=50K
56,13,45, <=50K
40,13,40, <=50K
42,10,40, <=50K
32,5,23, <=50K
20,10,40, <=50K
23,9,37, <=50K
41,8,40, <=50K
25,9,60, <=50K
31,10,40, <=50K
24,10,52, <=50K
35,4,40, <=50K
37,8,33, <=50K
25,6,40, <=50K
54,9,40, >50K
41,3,40, <=50K
33,1,40, <=50K
39,9,40, <=50K
49,14,40, <=50K
30,15,40, <=50K
28,15,40, <=50K
30,14,60, >50K
24,13,40, <=50K
30,13,60, <=50K
23,7,40, <=50K
41,10,40, <=50K
39,3,40, <=50K
42,15,72, >50K
55,16,70, >50K
44,8,36, <=50K
26,3,40, <=50K
23,9,40, <=50K
54,10,40, <=50K
57,13,35, <=50K
57,4,40, <=50K
26,6,55, <=50K
31,3,25, <=50K
64,2,53, <=50K
29,9,30, <=50K
35,16,40, >50K
64,15,45, >50K
63,9,40, <=50K
30,9,50, <=50K
26,1,40, <=50K
59,9,50, <=50K
40,2,40, <=50K
38,9,70, <=50K
51,13,40, >50K
28,9,40, <=50K
51,13,35, <=50K
35,9,40, <=50K
48,13,40, <=50K
50,14,40, >50K
37,13,70, <=50K
24,3,40, <=50K
60,14,38, >50K
51,13,60, >50K
23,6,60, <=50K
42,9,35, <=50K
24,1,36, <=50K
36,5,40, <=50K
20,5,11, <=50K
27,10,45, <=50K
58,6,35, >50K
33,11,40, <=50K
23,10,40, <=50K
23,13,50, <=50K
25,3,40, <=50K
17,4,40, <=50K
28,14,30, <=50K
59,13,40, <=50K
52,10,55, >50K
23,9,40, <=50K
90,10,10, <=50K
43,9,60, <=50K
30,7,30, <=50K
64,3,20, <=50K
43,9,40, <=50K
17,5,32, <=50K
46,9,45, <=50K
27,10,40, >50K
26,14,20, <=50K
34,13,40, <=50K
22,10,20, <=50K
50,10,40, <=50K
48,9,40, >50K
46,10,35, <=50K
44,13,40, <=50K
46,13,45, >50K
38,9,40, <=50K
42,14,55, >50K
41,13,15, >50K
22,3,40, <=50K
28,9,70, <=50K
38,9,30, <=50K
48,13,36, >50K
20,10,40, <=50K
50,8,40, >50K
17,3,48, <=50K
43,9,50, >50K
44,9,40, <=50K
23,9,20, <=50K
47,9,20, <=50K
30,9,40, <=50K
28,4,40, <=50K
47,10,40, <=50K
28,9,40, <=50K
31,14,6, <=50K
54,14,40, >50K
37,5,16, <=50K
24,9,35, <=50K
32,11,40, <=50K
46,9,40, <=50K
31,10,40, <=50K
41,13,50, >50K
34,13,40, >50K
42,4,35, <=50K
25,11,40, <=50K
56,14,40, >50K
61,3,45, <=50K
37,2,40, <=50K
40,9,15, <=50K
39,4,40, <=50K
29,10,36, <=50K
27,9,40, <=50K
37,9,25, <=50K
51,2,40, <=50K
43,9,40, <=50K
23,10,20, <=50K
39,11,40, <=50K
30,7,40, <=50K
55,4,20, <=50K
30,13,40, <=50K
40,9,40, <=50K
52,8,40, <=50K
58,13,40, <=50K
31,2,25, <=50K
23,3,35, <=50K
36,9,40, <=50K
36,2,20, <=50K
19,10,20, <=50K
26,4,40, <=50K
45,9,40, <=50K
29,3,40, <=50K
51,4,50, <=50K
46,2,40, <=50K
31,14,45, <=50K
27,9,46, <=50K
27,13,40, <=50K
30,9,40, <=50K
49,11,35, <=50K
32,15,40, <=50K
39,10,40, <=50K
42,3,40, <=50K
23,9,35, <=50K
38,13,40, >50K
46,9,70, >50K
28,11,40, <=50K
57,3,40, <=50K
29,9,42, <=50K
48,14,40, >50K
31,9,60, <=50K
45,9,40, <=50K
57,4,45, <=50K
38,14,50, >50K
42,8,60, >50K
29,14,40, >50K
51,9,40, <=50K
58,9,40, <=50K
28,7,40, <=50K
29,13,64, >50K
65,14,4, <=50K
28,9,40, <=50K
21,1,50, <=50K
31,13,40, <=50K
40,3,40, <=50K
28,4,40, <=50K
34,13,35, <=50K
71,4,16, <=50K
28,9,40, <=50K
47,10,40, <=50K
33,9,35, <=50K
51,7,40, <=50K
61,16,40, >50K
21,1,50, <=50K
23,13,35, <=50K
65,10,40, <=50K
31,10,50, <=50K
26,14,40, <=50K
27,9,32, <=50K
40,10,40, <=50K
36,9,40, <=50K
62,9,40, <=50K
42,10,40, >50K
68,9,7, <=50K
23,6,40, <=50K
56,9,40, <=50K
39,9,40, >50K
48,12,40, <=50K
45,16,40, >50K
48,10,40, <=50K
42,3,35, <=50K
36,13,50, <=50K
28,15,99, <=50K
42,16,40, >50K
35,13,60, <=50K
73,13,5, <=50K
53,5,40, <=50K
31,13,40, <=50K
27,13,30, <=50K
19,4,25, <=50K
46,9,40, >50K
32,4,40, <=50K
47,9,37, <=50K
30,10,40, <=50K
61,9,35, <=50K
21,9,40, <=50K
47,14,45, <=50K
72,7,8, <=50K
40,15,55, >50K
18,8,24, <=50K
32,13,40, <=50K
32,10,40, <=50K
26,9,40, <=50K
40,10,40, <=50K
30,9,40, <=50K
64,3,70, <=50K
23,9,40, <=50K
44,15,45, <=50K
22,10,30, <=50K
85,13,3, <=50K
37,3,36, <=50K
23,5,40, <=50K
66,9,50, <=50K
66,10,40, <=50K
43,9,60, <=50K
19,10,20, <=50K
37,14,40, >50K
24,10,60, <=50K
32,10,40, <=50K
28,9,40, <=50K
25,6,40, <=50K
43,10,40, <=50K
32,12,46, <=50K
21,10,10, <=50K
38,14,40, <=50K
53,9,40, >50K
59,9,40, >50K
45,12,40, <=50K
21,10,30, <=50K
28,9,50, <=50K
18,5,40, <=50K
39,13,10, <=50K
19,1,36, <=50K
57,2,35, <=50K
43,15,50, >50K
47,12,40, >50K
33,14,40, <=50K
29,9,38, <=50K
35,13,50, >50K
22,4,40, <=50K
30,10,40, <=50K
40,13,40, <=50K
26,10,40, <=50K
52,3,15, <=50K
28,6,35, <=50K
30,10,40, >50K
27,9,40, <=50K
20,10,33, <=50K
29,9,40, <=50K
54,2,35, <=50K
44,9,40, <=50K
32,13,40, <=50K
44,13,45, <=50K
42,3,38, <=50K
35,14,45, >50K
50,15,40, >50K
33,10,66, <=50K
56,15,40, >50K
23,9,72, <=50K
68,14,42, >50K
25,6,40, <=50K
56,2,25, <=50K
31,9,40, <=50K
63,13,50, >50K
22,9,40, <=50K
23,9,40, <=50K
38,9,40, <=50K
33,9,38, <=50K
53,11,40, >50K
42,14,40, >50K
25,3,40, <=50K
47,4,40, <=50K
41,9,40, <=50K
42,13,50, <=50K
56,6,30, >50K
33,16,50, <=50K
48,14,50, <=50K
38,3,40, <=50K
38,9,40, <=50K
33,9,84, >50K
39,10,26, <=50K
59,10,40, <=50K
44,10,10, <=50K
34,13,50, >50K
53,9,40, <=50K
45,14,36, >50K
54,10,56, >50K
22,3,40, <=50K
42,2,40, <=50K
38,13,60, >50K
36,5,35, <=50K
41,11,60, >50K
48,2,50, <=50K
66,12,40, >50K
17,6,10, <=50K
55,16,55, >50K
43,13,35, >50K
22,10,40, <=50K
37,11,40, <=50K
39,16,40, <=50K
29,15,50, >50K
34,14,35, >50K
29,4,30, <=50K
24,9,40, <=50K
23,10,24, <=50K
40,7,37, <=50K
60,14,40, >50K
44,10,80, >50K
22,11,40, <=50K
81,2,45, <=50K
